version,mass,volume,pocket_depth,through_cut,rib_thickness,cutout_length,cutout_angle,max_stress,max_disp,safety_factor
V1,21.547,20327.158,8.0,0,14.0,0.0,0,1.126,0.016,17.757
V2,20.941,19755.274,2.5,0,4.5,14.5,12,1.275,0.025,15.684
V3,19.607,18497.129,8.0,1,4.5,14.5,12,1.663,0.026,12.03
V4,21.093,19898.855,2.0,0,4.5,14.5,12,1.124,0.015,17.798
V5,20.577,19412.143,4.0,0,4.5,14.5,12,1.126,0.013,17.763
V6,20.092,18954.636,6.0,0,4.5,14.5,12,1.104,0.014,18.12
V7,19.888,18762.543,8.0,1,4.5,12.5,12,1.563,0.024,17.797
V8,19.919,18791.265,8.0,1,5.0,14.5,12,1.801,0.023,11.103
V9,20.731,19557.979,4.0,0,5.0,14.5,12,1.129,0.013,17.715
V10,20.716,19543.618,4.0,0,4.5,12.5,12,1.129,0.013,17.706
V11,19.988,18856.361,6.0,0,4.5,15.5,12,1.09,0.013,18.342
